sample	donor	tissue	purity	ploidy	WGD	cohort	Missing_Files
PPCG0434a	PPCG0434	Primary	0.313	2.012	False	COMBI	SV
PPCG0434c	PPCG0434	Metastasis	0.320	2.000	False	COMBI	INDEL,SV
PPCG0435a	PPCG0435	Primary	0.805	1.897	False	COMBI	.
PPCG0435c	PPCG0435	Metastasis	0.865	3.875	True	COMBI	.
PPCG0442b	PPCG0442	Primary	0.438	2.011	False	COMBI	.
PPCG0442c	PPCG0442	Metastasis	0.440	2.000	False	COMBI	SV
PPCG0467a	PPCG0467	Metastasis	0.420	2.091	False	COMBI	.
PPCG0467b	PPCG0467	Metastasis	0.452	2.099	False	COMBI	.
PPCG0467d	PPCG0467	Primary	0.582	2.083	False	COMBI	.
PPCG0480a	PPCG0480	Primary	0.376	1.929	False	COMBI	INDEL,SV
PPCG0480c	PPCG0480	Metastasis	0.300	2.006	False	COMBI	SV
PPCG0988a	PPCG0988	Primary	0.528	4.210	True	COMBI	.
PPCG0988c	PPCG0988	Metastasis	0.737	4.082	True	COMBI	.
PPCG0990a	PPCG0990	Primary	0.729	1.977	False	COMBI	.
PPCG0990c	PPCG0990	Metastasis	0.641	3.994	True	COMBI	.
PPCG0992a	PPCG0992	Primary	0.364	3.588	True	COMBI	.
PPCG0992c	PPCG0992	Metastasis	0.749	3.515	True	COMBI	.
PPCG0994a	PPCG0994	Primary	0.274	1.922	False	COMBI	.
PPCG0994c	PPCG0994	Metastasis	0.721	1.908	False	COMBI	.
PPCG0996a	PPCG0996	Primary	0.623	3.198	True	COMBI	.
PPCG0996c	PPCG0996	Metastasis	0.684	3.315	True	COMBI	.
PPCG0998a	PPCG0998	Primary	0.265	1.839	False	COMBI	.
PPCG0998c	PPCG0998	Metastasis	0.656	1.852	False	COMBI	.
PPCG1000a	PPCG1000	Primary	0.832	1.976	False	COMBI	.
PPCG1000c	PPCG1000	Metastasis	0.298	2.002	False	COMBI	.
PPCG1002a	PPCG1002	Primary	0.610	2.051	False	COMBI	.
PPCG1002c	PPCG1002	Metastasis	0.919	1.995	False	COMBI	.
PPCG1004a	PPCG1004	Primary	0.867	1.932	False	COMBI	.
PPCG1004c	PPCG1004	Metastasis	0.680	1.966	False	COMBI	.
