total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
30	13	6	18	46	8	56	2.73913	0.04666	0.94480	False	GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
33	15	8	18	46	8	56	2.73913	0.04666	0.94480	False	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_RENIN_ANGIOTENSIN
13	9	11	32	32	20	44	2.20000	0.04726	0.94480	False	GOBP_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX
8	6	3	19	45	9	55	2.58025	0.05310	0.94480	False	GOBP_OBSERVATIONAL_LEARNING
27	10	9	19	45	9	55	2.58025	0.05310	0.94480	False	GOBP_GMP_METABOLIC_PROCESS
50	21	9	19	45	9	55	2.58025	0.05310	0.94480	False	GOBP_DIGESTIVE_TRACT_MORPHOGENESIS
10	7	3	19	45	9	55	2.58025	0.05310	0.94480	False	GOBP_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING
30	13	6	15	49	6	58	2.95918	0.05437	0.94480	False	GOBP_METANEPHROS_MORPHOGENESIS
40	15	11	26	38	15	49	2.23509	0.05751	0.94480	False	GOBP_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION
15	5	5	12	52	4	60	3.46154	0.05873	0.94480	False	GOBP_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION
16	9	4	12	52	4	60	3.46154	0.05873	0.94480	False	GOBP_REGULATION_OF_PROTEIN_COMPLEX_STABILITY
31	10	4	12	52	4	60	3.46154	0.05873	0.94480	False	GOBP_RESPONSE_TO_IRON_ION
10	8	4	12	52	4	60	3.46154	0.05873	0.94480	False	GOBP_REGULATION_OF_GLOMERULAR_FILTRATION
43	20	9	20	44	10	54	2.45455	0.05931	0.94480	False	GOBP_EMBRYONIC_AXIS_SPECIFICATION
38	12	8	20	44	10	54	2.45455	0.05931	0.94480	False	GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS
46	17	20	28	36	17	47	2.15033	0.06356	0.94480	False	GOBP_PHOTORECEPTOR_CELL_MAINTENANCE
20	10	5	16	48	7	57	2.71429	0.06391	0.94480	False	GOBP_BRANCH_ELONGATION_OF_AN_EPITHELIUM
35	8	7	16	48	7	57	2.71429	0.06391	0.94480	False	GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS
25	11	9	16	48	7	57	2.71429	0.06391	0.94480	False	GOBP_REFLEX
28	11	6	16	48	7	57	2.71429	0.06391	0.94480	False	GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS
35	16	10	21	43	11	53	2.35307	0.06522	0.94480	False	GOBP_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION
18	11	7	21	43	11	53	2.35307	0.06522	0.94480	False	GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING
42	10	12	11	53	21	43	0.42498	0.06522	0.94480	False	GOBP_ASTROCYTE_DEVELOPMENT
26	10	10	12	52	22	42	0.44056	0.07081	0.94480	False	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION
33	10	12	12	52	22	42	0.44056	0.07081	0.94480	False	GOBP_BICARBONATE_TRANSPORT
