geneset	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	14	7	0.91963	2.50836	0.09075	0.61918	False
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	26	17	0.67034	1.95491	0.09111	0.61918	False
GOBP_T_CELL_TOLERANCE_INDUCTION	10	4	1.12996	3.09553	0.09113	0.61918	False
GOBP_POSITIVE_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION	10	4	1.12996	3.09553	0.09113	0.61918	False
GOBP_POSITIVE_REGULATION_OF_TOLERANCE_INDUCTION	10	4	1.12996	3.09553	0.09113	0.61918	False
GOBP_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION	10	4	1.12996	3.09553	0.09113	0.61918	False
GOBP_POSITIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT	13	20	-0.80372	0.44766	0.09143	0.61918	False
GOBP_EXCITATORY_CHEMICAL_SYNAPTIC_TRANSMISSION	14	7	0.89722	2.45278	0.09307	0.61918	False
GOBP_REGULATION_OF_ODONTOGENESIS	10	4	1.09937	3.00227	0.09345	0.61918	False
GOBP_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION	10	4	1.09675	2.99441	0.09371	0.61918	False
GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	15	8	0.89711	2.45250	0.09436	0.61918	False
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	14	7	0.88971	2.43443	0.09454	0.61918	False
GOBP_POSITIVE_REGULATION_OF_MYELINATION	15	8	0.88580	2.42491	0.09618	0.61918	False
GOBP_VOCALIZATION_BEHAVIOR	21	13	0.75034	2.11772	0.09682	0.61918	False
GOBP_SEX_DETERMINATION	10	4	1.06436	2.89899	0.09740	0.61918	False
GOBP_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	10	4	1.05855	2.88218	0.09788	0.61918	False
GOBP_NEURONAL_ACTION_POTENTIAL	22	30	-0.66318	0.51521	0.09887	0.61918	False
GOBP_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT	12	19	-0.77370	0.46130	0.09938	0.61918	False
