total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
19	8	10	11	53	13	51	0.81422	0.82127	1.00000	False	KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY
27	9	9	11	53	13	51	0.81422	0.82127	1.00000	False	KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
43	10	12	14	50	12	52	1.21333	0.82647	1.00000	False	KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT
20	7	9	12	52	14	50	0.82418	0.82647	1.00000	False	KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY
31	9	9	12	52	14	50	0.82418	0.82647	1.00000	False	KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY
31	9	9	12	52	14	50	0.82418	0.82647	1.00000	False	KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY
21	7	9	12	52	14	50	0.82418	0.82647	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY
18	6	10	13	51	15	49	0.83268	0.83101	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABBERANT_ATXN2_3_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
33	9	12	15	49	17	47	0.84634	0.83850	1.00000	False	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION
25	13	12	16	48	18	46	0.85185	0.84160	1.00000	False	KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL
50	20	20	21	43	23	41	0.87058	0.85251	1.00000	False	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY
11	6	7	17	47	17	47	1.00000	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_NRG_ERBB4_PI3K_SIGNALING_PATHWAY
22	9	9	12	52	13	51	0.90533	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_MGLUR5_CA2_APOPTOTIC_PATHWAY
11	8	7	14	50	15	49	0.91467	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY
12	6	7	10	54	11	53	0.89226	1.00000	1.00000	False	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350
11	5	6	10	54	10	54	1.00000	1.00000	1.00000	False	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339
15	6	6	11	53	12	52	0.89937	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_PI3K_SIGNALING_PATHWAY
28	9	9	10	54	11	53	0.89226	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_GHRHR_PKA_GH_SIGNALING_PATHWAY
15	7	6	12	52	11	53	1.11189	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY
11	6	5	10	54	11	53	0.89226	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_IGF2_IGF1R_PI3K_SIGNALING_PATHWAY
19	7	8	11	53	10	54	1.12075	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY
35	10	11	13	51	12	52	1.10458	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_FGF_FGFR_RAS_ERK_SIGNALING_PATHWAY
28	11	11	13	51	13	51	1.00000	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
35	15	16	15	49	16	48	0.91837	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY
32	13	12	14	50	15	49	0.91467	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY
21	10	11	12	52	13	51	0.90533	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY
27	9	9	10	54	11	53	0.89226	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY
23	7	6	10	54	11	53	0.89226	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_E2_ER_RAS_ERK_SIGNALING_PATHWAY
