observed	background	n_replicates	p_value	q_value	significant	geneset
12	11.11500	1000	0.44256	0.72852	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ERBB4_TO_NRG_ERBB4_PI3K_SIGNALING_PATHWAY
11	10.13600	1000	0.45255	0.73368	False	KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY
10	9.41700	1000	0.47053	0.75144	False	KEGG_MEDICUS_REFERENCE_TAC3_TACR3_PLC_PKC_SIGNALING_PATHWAY
12	11.48600	1000	0.48951	0.77026	False	KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY
10	9.57900	1000	0.50350	0.78078	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM
11	10.89500	1000	0.53447	0.79576	False	KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY
10	9.94700	1000	0.53447	0.79576	False	KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY
14	13.78700	1000	0.53546	0.79576	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
10	9.81600	1000	0.54645	0.79592	False	KEGG_MEDICUS_VARIANT_EML4_ALK_FUSION_KINASE_TO_PLCG_ERK_SIGNALING_PATHWAY
13	12.98000	1000	0.55045	0.79592	False	KEGG_MEDICUS_REFERENCE_CCR5_GNB_G_PLCB_G_PKC_SIGNALING_PATHWAY
11	11.01200	1000	0.57143	0.81524	False	KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY
12	12.16700	1000	0.58841	0.81905	False	KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY
14	14.16200	1000	0.58941	0.81905	False	KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY
10	10.45800	1000	0.61538	0.84418	False	KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY
16	16.69700	1000	0.64336	0.87118	False	KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL
12	12.70800	1000	0.65135	0.87118	False	KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY
15	16.03000	1000	0.67932	0.87752	False	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL
13	14.05800	1000	0.68931	0.87752	False	KEGG_MEDICUS_VARIANT_CYP11B1_CYP11B2_FUSION_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
10	11.13500	1000	0.69431	0.87752	False	KEGG_MEDICUS_REFERENCE_E2_ER_RAS_ERK_SIGNALING_PATHWAY
15	16.02300	1000	0.69930	0.87752	False	KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY
21	22.48700	1000	0.70529	0.87752	False	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY
11	12.13600	1000	0.70529	0.87752	False	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
10	11.36600	1000	0.73427	0.89078	False	KEGG_MEDICUS_REFERENCE_GPCR_PI3K_SIGNALING_PATHWAY
11	12.42400	1000	0.73926	0.89078	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
11	12.45300	1000	0.74126	0.89078	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
